bowlerName,inningbowled,avg_bowling_economy,avg_bowling_strike,average_bowling_avg,average_dot_ball_%
Aaron Finch,2,6.75,12.0,13.0,33.33
Adam Zampa,4,7.3,43.33,48.67,37.53
Adil Rashid,11,5.85,34.67,31.92,42.05
Aftab Alam,3,5.47,29.1,34.5,57.1
Aiden Markram,3,6.14,24.0,22.0,43.52
Andile Phehlukwayo,8,5.61,38.14,36.25,49.66
Andre Russell,4,5.11,23.0,21.5,61.28
Angelo Mathews,1,3.0,12.0,6.0,58.33
Ashley Nurse,2,6.16,0.0,0.0,25.37
Ben Stokes,11,4.92,21.38,13.17,50.62
Beuran Hendricks,1,5.0,0.0,0.0,70.0
Bhuvneshwar Kumar,6,4.94,36.8,35.4,55.8
Carlos Brathwaite,7,7.49,17.17,22.36,35.05
Chris Gayle,4,6.02,24.0,18.0,37.36
Chris Morris,7,5.22,32.47,28.58,57.43
Chris Woakes,11,5.15,27.25,22.08,58.63
Colin Munro,1,9.0,0.0,0.0,16.67
Colin de Grandhomme,10,5.38,38.0,24.5,51.58
Dawlat Zadran,5,7.16,29.75,36.46,51.89
Dhananjaya de Silva,6,5.65,20.0,15.33,46.57
Dimuth Karunaratne,1,7.0,0.0,0.0,66.67
Dwaine Pretorius,3,4.33,19.0,10.92,63.12
Fabian Allen,3,6.45,48.0,44.0,40.23
Glenn Maxwell,8,6.31,0.0,0.0,40.61
Gulbadin Naib,9,6.49,28.6,27.43,43.88
Hamid Hassan,5,4.72,42.0,53.0,62.22
Hardik Pandya,9,5.63,37.33,33.42,43.87
Hasan Ali,4,8.1,57.0,75.5,40.72
Imad Wasim,5,4.9,30.0,24.0,44.33
Imran Tahir,8,4.91,30.9,29.15,47.05
Ish Sodhi,1,5.83,0.0,0.0,33.33
Isuru Udana,7,5.89,36.45,31.75,46.63
James Neesham,9,6.22,24.54,22.86,49.37
Jason Behrendorff,5,5.18,35.25,34.58,57.03
Jason Holder,8,5.78,28.0,22.0,53.28
Jasprit Bumrah,9,4.33,31.62,21.36,59.01
Jean-Paul Duminy,4,7.5,12.0,15.0,40.62
Jeevan Mendis,3,7.41,0.0,0.0,32.06
Jeffrey Vandersay,1,7.14,42.0,50.0,45.24
Joe Root,3,5.63,15.0,13.5,36.85
Jofra Archer,11,4.48,30.56,21.59,62.26
Kagiso Rabada,8,5.08,36.33,27.86,58.75
Kane Richardson,2,6.18,21.6,23.33,51.46
Kane Williamson,2,4.22,45.0,32.0,47.62
Kasun Rajitha,2,6.74,54.0,61.5,50.42
Kedar Jadhav,3,7.33,0.0,0.0,56.94
Kemar Roach,4,3.61,20.0,12.17,67.22
Kuldeep Yadav,7,5.01,52.2,45.4,45.79
Lasith Malinga,7,6.26,37.97,38.68,50.94
Liam Plunkett,7,4.93,31.17,24.14,48.23
Lockie Ferguson,9,4.85,31.63,25.56,60.67
Lungi Ngidi,4,6.73,32.67,30.11,50.79
Marcus Stoinis,8,6.04,27.0,26.38,47.48
Mark Wood,10,5.1,33.2,28.46,52.36
Mashrafe Mortaza,8,6.5,60.0,68.0,43.96
Matt Henry,9,4.88,31.97,29.46,61.84
Mehidy Hasan Miraz,7,5.09,45.0,32.75,46.4
Milinda Siriwardana,1,8.5,0.0,0.0,33.33
Mitchell Santner,9,4.75,43.2,34.6,52.37
Mitchell Starc,10,5.42,29.09,29.24,58.38
Moeen Ali,5,5.46,38.67,40.56,42.38
Mohammad Amir,8,4.86,29.43,26.62,55.53
Mohammad Hafeez,7,6.38,42.0,51.5,42.52
Mohammad Nabi,9,4.75,38.1,27.1,50.48
Mohammad Saifuddin,7,7.13,26.33,28.44,42.11
Mohammed Shami,4,5.26,22.39,23.95,61.76
Mosaddek Hossain,7,6.77,30.0,20.75,37.6
Mujeeb Ur Rahman,7,5.02,34.25,25.25,54.05
Mustafizur Rahman,8,6.67,27.71,32.69,46.22
Nathan Coulter-Nile,5,5.9,48.0,48.33,48.94
Nathan Lyon,4,5.87,45.0,31.25,48.75
Nuwan Pradeep,3,5.35,36.75,22.88,61.98
Oshane Thomas,9,6.09,35.22,38.25,58.36
Pat Cummins,10,4.87,35.11,29.1,63.59
Rahmat Shah,4,6.28,30.0,22.0,42.92
Rashid Khan,8,5.81,50.1,40.1,51.16
Ravindra Jadeja,2,3.7,60.0,37.0,62.5
Rubel Hossain,2,7.61,48.0,48.0,36.69
Samiullah Shinwari,1,4.0,0.0,0.0,56.25
Sayed Shirzad,1,7.0,48.0,56.0,37.5
Shadab Khan,6,5.55,39.4,32.93,44.1
Shaheen Shah Afridi,5,5.01,24.42,23.18,58.37
Shakib Al Hasan,8,5.57,37.2,29.46,45.21
Shannon Gabriel,3,8.46,21.0,24.5,40.83
Sheldon Cottrell,9,5.67,28.0,27.17,55.88
Shoaib Malik,3,6.94,18.0,10.0,35.65
Soumya Sarkar,2,6.38,26.0,26.17,38.54
Steven Smith,3,9.67,12.0,6.0,44.44
Suranga Lakmal,3,6.44,0.0,0.0,51.85
Tabraiz Shamsi,2,6.44,0.0,0.0,41.67
Thisara Perera,6,5.45,24.0,19.0,46.83
Tim Southee,1,7.77,54.0,70.0,42.59
Trent Boult,10,4.84,36.75,30.78,59.13
Vijay Shankar,1,4.12,15.6,11.0,60.9
Wahab Riaz,8,6.27,35.67,34.19,47.71
Yuzvendra Chahal,8,6.02,36.0,32.38,48.72
