Player Name,Country,Role
Naveen-ul-Haq,Afghanistan,Bowler
Cameron Green,Australia,Batting Allrounder
Glenn Maxwell,Australia,Batting Allrounder
Liam Livingstone,England,Batting Allrounder
Faf du Plessis,South Africa,Middle order Batter
Heinrich Klaasen,South Africa,Wicketkeeper Batter
Jason Roy,England,Opening Batter
Quinton de Kock,South Africa,Wicketkeeper Batter
Ruturaj Gaikwad,India,Batter
Sai Sudharsan,India,Top order Batter
Shubman Gill,India,Opening Batter
Suryakumar Yadav,India,Batter
Virat Kohli,India,Top order Batter
Yashasvi Jaiswal,India,Opening Batter
