batsmanName,inning_batted,Average_SR,Average_Boundary_Percentage,total_runs,batting_average,balls_avg,0
KL Rahul (c)†,12.0,133.205,55.033912455689936,500.0,41.666666666666664,30.833333333333332,
Riyan Parag,14.0,141.67000000000002,59.16056860421744,573.0,40.92857142857143,27.428571428571427,
Sai Sudharsan,12.0,133.02166666666668,49.23880964595026,527.0,43.916666666666664,31.083333333333332,
Sanju Samson (c)†,15.0,131.002,59.30371573318159,531.0,35.4,23.066666666666666,
Shubman Gill (c),12.0,128.73833333333334,53.00262879048099,426.0,35.5,24.083333333333332,
Virat Kohli,15.0,155.59666666666666,60.86423026489316,741.0,49.4,31.933333333333334,
,,,,,,,Abhishek Sharma
,,,,,,,Heinrich Klaasen †
,,,,,,,Jake Fraser-McGurk
,,,,,,,Nicholas Pooran
,,,,,,,Phil Salt †
,,,,,,,Rajat Patidar
,,,,,,,Rishabh Pant (c)†
,,,,,,,Riyan Parag
,,,,,,,Sunil Narine
,,,,,,,Tilak Varma
,,,,,,,Travis Head
,,,,,,,Virat Kohli
