Player Name,Count
Glenn Maxwell,5
Jos Buttler,4
Arshdeep Singh,3
David Warner,3
Suryakumar Yadav,3
Heinrich Klaasen,3
Glenn Phillips,3
Virat Kohli,3
Marcus Stoinis,3
Taskin Ahmed,3
Jasprit Bumrah,3
Travis Head,3
Shubman Gill,2
Sai Sudharsan,2
Jason Roy,2
KL Rahul,2
Liam Livingstone,2
Aiden Markram,2
Rohit Sharma,2
Abhishek Sharma,2
Ruben Trumpelmann,1
Hardik Pandya,1
Shaheen Shah Afridi,1
Mohammed Shami,1
Shimron Hetmyer,1
Shadab Khan,1
Litton Das,1
Alex Hales,1
Kusal Perera,1
Avishka Fernando,1
Alex Carey,1
Imad Wasim,1
Fazalhaq Farooqi,1
Carlos Brathwaite,1
Chamika Karunaratne,1
Kagiso Rabada,1
Axar Patel,1
Gareth Delany,1
Harry Brook,1
Jean-Paul Duminy,1
Charith Asalanka,1
Mitchell Marsh,1
Richard Ngarava,1
Wanindu Hasaranga,1
Karim Janat,1
Bhuvneshwar Kumar,1
Yashasvi Jaiswal,1
Blessing Muzarabani,1
Ravi Bishnoi,1
Pat Cummins,1
Trent Boult,1
Vijay Shankar,1
Ben Stokes,1
Kieron Pollard,1
Chris Gayle,1
Ishan Kishan,1
Mayank Agarwal,1
Wriddhiman Saha,1
Lockie Ferguson,1
Mohammed Siraj,1
Moises Henriques,1
Nathan Coulter-Nile,1
Mahipal Lomror,1
Riyan Parag,1
Jonny Bairstow,1
Tim Southee,1
Andre Russell,1
Rajat Patidar,1
Naveen-ul-Haq,1
Cameron Green,1
Faf du Plessis,1
Quinton de Kock,1
Ruturaj Gaikwad,1
Chris Morris,1
Sunil Narine,1
Sanju Samson,1
Will Jacks,1
David Miller,1
